course,lng,lat,Estblsh,Age_yrs,Mn_prtc,Mn_vlnt
portsmouthlakeside,-1.081577,50.840416,30/04/2016,2.9,209.1,19.2
,,,,,,
sherwoodpines,-1.085311,53.166221,24/10/2015,3.4,197.6,14.8
,,,,,,
gedling,-1.087081,52.993979,20/06/2015,3.7,122.9,15.5
,,,,,,
doncaster,-1.0878,53.546051,28/09/2013,5.5,153.5,13.4
,,,,,,
colwick,-1.095285,52.948638,25/06/2011,7.7,192.3,16
,,,,,,
york,-1.097646,53.937117,14/01/2012,7.2,350.1,21.7
,,,,,,
bressay,-1.111507,60.151235,20/01/2018,1.1,38,13.8
,,,,,,
leicestervictoria,-1.121877,52.623522,14/11/2015,3.3,241.1,22.8
,,,,,,
bicester,-1.146913,51.891047,16/04/2016,2.9,169.4,18.1
,,,,,,
rushcliffe,-1.149238,52.882818,06/10/2012,6.4,274.8,18.4
,,,,,,
flattslane,-1.1516525,54.5441465,16/09/2017,1.5,62.1,13.5
,,,,,,
daventry,-1.153135,52.266844,08/11/2014,4.3,192.7,22.3
,,,,,,
forestrec,-1.160088,52.965261,06/04/2013,5.9,169.9,12.9
,,,,,,
clifton,-1.162997,52.907145,13/01/2018,1.2,56,14.7
,,,,,,
fareham,-1.167426,50.848386,09/04/2016,2.9,195.7,22.9
,,,,,,
bestwoodvillage,-1.17117,53.022109,28/01/2017,2.1,86.4,14.1
,,,,,,
braunstone,-1.179818,52.625958,25/09/2010,8.5,286.6,19.5
,,,,,,
mansfield,-1.182082,53.175126,29/09/2012,6.5,93.5,14.3
,,,,,,
hartlepool,-1.194077,54.677007,26/04/2014,4.9,90.6,10.9
,,,,,,
beeston,-1.194677,52.914337,05/04/2014,4.9,233.8,15.9
,,,,,,
leeonthesolent,-1.203818,50.801094,04/07/2015,3.7,341.9,32.9
,,,,,,
stewart,-1.204634,54.539933,07/07/2012,6.7,239.8,20.6
,,,,,,
dishleyloughborough,-1.2349936,52.7878202,28/07/2018,0.6,288.7,30.2
,,,,,,
albert,-1.235018,54.564834,31/05/2008,10.8,227.3,17
,,,,,,
rugby,-1.238397,52.373143,10/12/2016,2.3,187,27.3
,,,,,,
didcot,-1.239956,51.617299,21/02/2015,4.1,157.4,18.9
,,,,,,
whiteley,-1.247762,50.885518,01/04/2017,1.9,205.3,23.3
,,,,,,
oxford,-1.259437,51.790515,05/11/2011,7.4,195.2,11
,,,,,,
abingdon,-1.269221,51.669202,07/05/2011,7.9,209.8,17.1
,,,,,,
newbury,-1.280959,51.377741,11/02/2012,7.1,350.6,20.2
,,,,,,
longeaton,-1.2851,52.895341,13/06/2015,3.7,336.6,19
,,,,,,
medina,-1.287031,50.711841,07/05/2011,7.9,178.1,27.7
,,,,,,
brierleyforest,-1.294734,53.130461,10/09/2016,2.5,169.8,20.2
,,,,,,
harcourthill,-1.296172,51.739361,18/10/2014,4.4,96.9,11.1
,,,,,,
teesbarrage,-1.298704,54.5642,23/06/2012,6.7,162.2,11.3
,,,,,,
cotsfordfields,-1.300721,54.759476,23/06/2018,0.7,46.5,11.2
,,,,,,
winchester,-1.309599,51.070277,27/04/2013,5.9,229.2,20.2
,,,,,,
rothervalley,-1.323423,53.338407,11/05/2013,5.8,187.8,16.7
,,,,,,
pontefract,-1.332393,53.701331,07/05/2011,7.9,209.4,15.1
,,,,,,
banbury,-1.332479,52.067715,27/09/2014,4.5,179.2,19.9
,,,,,,
netleyabbey,-1.339045,50.866266,17/03/2012,7,192.8,26.4
,,,,,,
rotherham,-1.34428,53.431603,20/04/2013,5.9,61.4,5.3
,,,,,,
poolsbrook,-1.348507,53.258308,02/04/2016,2.9,166.6,17.4
,,,,,,
shipleycountry,-1.359858,53.000968,25/02/2017,2,152.8,25.4
,,,,,,
keppel,-1.3685381,53.9352289,28/07/2018,0.6,5.6,5.5
,,,,,,
eastleigh,-1.3737899,50.9677078,08/05/2010,8.8,183.3,26.1
,,,,,,
nostell,-1.389583,53.652775,26/07/2014,4.6,180.6,17.8
,,,,,,
wetherby,-1.39219,53.9257,21/03/2015,4,65.6,11.2
,,,,,,
southshields,-1.394577,54.988646,20/04/2013,5.9,151.5,12.5
,,,,,,
southampton,-1.410584,50.928304,07/07/2012,6.7,584,38.8
,,,,,,
sunderland,-1.413331,54.882038,10/10/2009,9.4,137.1,11
,,,,,,
sheffieldcastle,-1.4326,53.368633,03/08/2013,5.6,46.8,8.7
,,,,,,
concord,-1.434445,53.426642,19/03/2011,8,59.5,5.6
,,,,,,
northallerton,-1.435328,54.348382,01/08/2015,3.6,83.2,14.6
,,,,,,
whitleybay,-1.450624,55.053399,16/06/2012,6.7,264.8,21.6
,,,,,,
templenewsam,-1.454616,53.781358,02/02/2013,6.1,157.7,22.1
,,,,,,
graves,-1.466675,53.335742,14/04/2012,6.9,170.6,15.1
,,,,,,
sedgefield,-1.46852,54.655389,17/03/2012,7,163.1,16
,,,,,,
bedworth,-1.470312,52.475939,17/02/2018,1.1,140.8,21.6
,,,,,,
rothwell,-1.471544,53.750941,29/07/2017,1.6,167.9,21.1
,,,,,,
barnsley,-1.488025,53.542985,22/01/2011,8.1,137.5,13.3
,,,,,,
roundhay,-1.499355,53.837614,23/04/2011,7.9,232.3,19
,,,,,,
hillsborough,-1.500578,53.407946,02/02/2013,6.1,189.8,11.9
,,,,,,
markeaton,-1.505878,52.934582,27/04/2013,5.9,260.4,20.8
,,,,,,
andover,-1.508431,51.220889,16/07/2011,7.7,174.7,13.4
,,,,,,
leamington,-1.509418,52.290738,23/04/2011,7.9,316.7,22.8
,,,,,,
newbigginbythesea,-1.510234,55.18484,14/10/2017,1.4,101.5,16.4
,,,,,,
wakefieldthornes,-1.510234,53.672917,20/09/2014,4.5,216.5,23.7
,,,,,,
sheffieldhallam,-1.511006,53.367762,10/07/2010,8.7,425.3,15.4
,,,,,,
witney,-1.51482,51.791275,10/03/2018,1,218.3,30.2
,,,,,,
